YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1919,-4.10,-7.00,-4.50,-2.60,3.20,7.40,9.40,9.50,7.20,1.50,-2.90,-4.80,-4.70,-1.30,8.77,1.93,1.18
1920,-6.20,-4.30,-0.40,0.10,4.70,7.10,11.30,10.70,8.00,2.20,0.40,-1.10,-5.10,1.47,9.70,3.53,2.40
1921,-5.40,-4.80,-2.70,1.70,4.90,8.70,8.70,9.80,6.40,0.90,-2.40,-3.10,-3.77,1.30,9.07,1.63,2.06
1922,-4.20,-3.80,-4.30,-0.70,4.50,7.60,10.80,9.80,9.00,3.10,0.80,-4.30,-3.70,-0.17,9.40,4.30,2.46
1923,-2.70,-4.60,-2.60,-1.90,1.80,6.00,9.40,8.00,6.80,3.50,-0.90,-2.80,-3.87,-0.90,7.80,3.13,1.54
1924,-4.60,-7.00,-4.30,-1.80,2.60,4.40,8.90,11.20,7.60,4.50,-0.10,-1.20,-4.80,-1.17,8.17,4.00,1.55
1925,-1.10,-3.60,-5.30,-1.00,2.00,5.60,10.00,9.50,7.10,1.20,-3.00,-5.10,-1.97,-1.43,8.37,1.77,1.68
1926,-5.10,-6.60,-3.30,-1.70,1.30,4.70,7.30,8.00,7.00,0.40,-1.20,-4.90,-5.60,-1.23,6.67,2.07,0.48
1927,-7.20,-3.50,-4.50,-1.30,1.00,5.40,10.10,10.10,5.70,0.80,-2.50,-3.70,-5.20,-1.60,8.53,1.33,0.77
1928,-4.30,-3.10,-2.20,-0.40,2.10,4.60,9.00,9.50,7.40,0.30,-2.60,-2.90,-3.70,-0.17,7.70,1.70,1.38
1929,-6.00,-5.40,-6.00,-4.80,2.60,4.60,7.60,9.40,7.10,3.00,0.60,-0.30,-4.77,-2.73,7.20,3.57,0.82
1930,-1.70,-3.80,-4.50,-0.80,3.40,6.60,9.70,10.20,4.80,2.50,-0.10,-3.00,-1.93,-0.63,8.83,2.40,2.17
1931,-5.10,-6.10,-4.90,-1.00,2.90,4.20,10.20,9.60,5.20,2.20,0.90,-0.90,-4.73,-1.00,8.00,2.77,1.26
1932,-3.20,-4.80,-4.40,-0.90,1.00,5.10,8.00,9.50,6.40,1.60,-0.80,-0.70,-2.97,-1.43,7.53,2.40,1.38
1933,-2.60,-5.50,-5.30,-1.80,2.10,6.30,9.70,10.00,7.30,2.30,-0.80,-3.30,-2.93,-1.67,8.67,2.93,1.75
1934,-1.90,-5.30,-2.80,-2.50,4.20,5.60,10.10,9.60,9.20,3.60,0.20,-0.40,-3.50,-0.37,8.43,4.33,2.22
1935,-4.20,-4.40,-2.50,-0.60,1.10,6.60,7.70,9.40,5.50,3.30,1.20,-1.60,-3.00,-0.67,7.90,3.33,1.89
1936,-5.40,-7.50,-5.40,-0.50,4.50,8.30,8.40,10.90,6.40,2.50,0.40,-0.60,-4.83,-0.47,9.20,3.10,1.75
1937,-2.40,-5.20,-4.00,1.70,4.20,8.70,10.50,12.70,7.70,4.30,-0.60,-3.90,-2.73,0.63,10.63,3.80,3.08
1938,-3.70,-1.50,-1.90,0.00,3.10,5.90,11.60,10.30,9.30,4.40,1.50,-0.80,-3.03,0.40,9.27,5.07,2.92
1939,-4.10,-4.60,-3.40,-1.60,2.30,6.20,9.20,10.80,4.80,2.00,1.10,-3.80,-3.17,-0.90,8.73,2.63,1.82
1940,-5.90,-7.10,-6.00,-2.80,3.60,5.90,7.90,10.00,7.30,3.00,-1.60,-2.80,-5.60,-1.73,7.93,2.90,0.88
1941,-6.50,-7.00,-6.10,-3.10,0.50,4.90,9.60,9.40,5.90,0.30,-1.20,-6.10,-5.43,-2.90,7.97,1.67,0.33
1942,-6.70,-7.70,-6.90,-1.50,0.50,5.30,8.50,9.10,6.20,2.10,-1.70,-4.10,-6.83,-2.63,7.63,2.20,0.09
1943,-6.10,-3.00,-2.80,-0.70,3.50,6.90,9.80,9.40,6.90,2.00,0.30,-0.80,-4.40,0.00,8.70,3.07,1.84
1944,-3.10,-3.70,-2.50,-2.30,2.30,5.90,7.20,8.90,7.40,4.20,0.30,-0.50,-2.53,-0.83,7.33,3.97,1.98
1945,-5.30,-4.90,-4.20,0.00,2.40,5.20,9.40,11.20,7.00,0.40,-2.40,-5.60,-3.57,-0.60,8.60,1.67,1.52
1946,-2.60,-8.40,-5.20,-0.80,2.30,6.70,9.50,9.50,8.50,1.40,-1.10,0.30,-5.53,-1.23,8.57,2.93,1.18
1947,-3.30,-7.00,-6.80,-0.50,1.40,6.40,8.80,9.40,7.70,2.70,-0.70,-2.70,-3.33,-1.97,8.20,3.23,1.53
1948,-6.50,-4.70,-4.30,0.30,4.00,6.20,8.80,8.50,7.30,2.80,0.00,-2.30,-4.63,0.00,7.83,3.37,1.64
1949,-3.60,-2.30,-3.50,-0.40,2.60,4.60,7.50,8.50,7.00,1.10,0.70,-2.30,-2.73,-0.43,6.87,2.93,1.66
1950,-3.30,-4.70,-1.70,1.50,2.80,6.00,7.00,10.90,7.90,5.10,-0.70,-1.40,-3.43,0.87,7.97,4.10,2.38
1951,-5.90,-5.60,-3.90,0.70,1.30,5.60,6.90,10.40,6.20,4.90,-2.10,-3.30,-4.30,-0.63,7.63,3.00,1.43
1952,-3.90,-4.30,-5.20,-1.10,1.80,6.80,9.40,7.60,6.50,1.50,-1.40,-4.90,-3.83,-1.50,7.93,2.20,1.20
1953,-5.40,-7.30,-3.60,-0.40,2.60,7.90,8.20,10.00,5.70,3.60,1.30,-0.30,-5.87,-0.47,8.70,3.53,1.48
1954,-2.90,-5.60,-2.70,0.30,3.80,6.20,10.60,8.70,6.90,1.90,-2.00,-0.50,-2.93,0.47,8.50,2.27,2.08
1955,-3.50,-6.60,-5.40,-1.20,2.20,4.90,7.90,9.10,7.00,2.00,-2.90,-8.30,-3.53,-1.47,7.30,2.03,1.08
1956,-5.20,-8.10,-2.50,-2.80,3.30,7.40,7.30,7.40,5.00,1.60,-2.00,-1.60,-7.20,-0.67,7.37,1.53,0.26
1957,-2.90,-2.60,-4.70,-0.30,2.40,5.50,10.40,10.00,6.80,3.00,0.30,-3.90,-2.37,-0.87,8.63,3.37,2.19
1958,-6.40,-4.70,-4.80,-2.00,0.70,5.50,8.50,8.80,6.10,3.00,0.70,-5.50,-5.00,-2.03,7.60,3.27,0.96
1959,-4.30,-1.30,-0.70,-1.50,3.40,7.30,9.60,9.70,5.70,2.50,0.40,-3.40,-3.70,0.40,8.87,2.87,2.11
1960,-4.40,-6.00,-1.50,1.40,4.50,6.70,13.50,10.60,7.70,-0.60,-2.40,-3.50,-4.60,1.47,10.27,1.57,2.17
1961,-3.50,-3.60,-2.20,-2.30,2.00,8.10,10.60,10.20,7.10,6.30,0.30,-4.70,-3.53,-0.83,9.63,4.57,2.46
1962,-5.00,-4.40,-7.00,-0.60,1.60,4.60,8.00,7.80,6.60,2.20,0.90,-3.90,-4.70,-2.00,6.80,3.23,0.83
1963,-5.30,-7.60,-7.30,-0.70,5.70,5.10,8.00,8.20,8.10,3.40,-1.80,-4.30,-5.60,-0.77,7.10,3.23,0.99
1964,-3.40,-6.20,-1.50,-1.60,3.00,6.70,10.80,9.40,6.40,3.90,-2.10,-3.20,-4.63,-0.03,8.97,2.73,1.76
