YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1986,1.70,2.00,0.80,-1.00,-5.60,-4.30,-7.60,-10.60,-11.50,-6.20,-3.50,-0.80,1.27,-1.93,-7.50,-7.07,-3.81
1987,0.70,-0.20,-1.20,-2.60,-3.80,-9.10,-19.90,-12.30,-14.20,-4.90,-1.60,0.00,-0.10,-2.53,-13.77,-6.90,-5.83
1988,0.40,0.80,-0.30,-2.30,-3.20,-4.00,-5.40,-10.00,-4.60,-2.50,-1.10,-0.20,0.40,-1.93,-6.47,-2.73,-2.68
1989,1.60,2.40,1.30,-2.60,-1.60,-3.30,-2.70,-3.40,-3.80,-1.60,-1.00,0.50,1.27,-0.97,-3.13,-2.13,-1.24
1990,2.00,2.40,0.80,-3.00,-3.50,-4.30,-3.60,-7.30,-6.30,-4.30,-3.50,-0.70,1.63,-1.90,-5.07,-4.70,-2.51
1991,1.10,0.80,-0.90,-2.30,-5.20,-7.80,-5.80,-7.10,-5.50,-7.50,-2.30,-0.50,0.40,-2.80,-6.90,-5.10,-3.60
1992,0.70,-0.30,-1.40,-2.10,-6.90,-10.90,-10.40,-8.60,-6.60,-3.90,-1.80,1.60,-0.03,-3.47,-9.97,-4.10,-4.39
1993,1.30,0.90,-1.00,-2.30,-3.40,-6.20,-6.20,-5.50,-5.90,-4.90,-0.70,-0.80,1.27,-2.23,-5.97,-3.83,-2.69
1994,0.70,0.80,-0.30,-1.40,-3.30,-4.70,-12.20,-7.00,-8.50,-9.50,0.00,0.10,0.23,-1.67,-7.97,-6.00,-3.85
1995,1.60,0.50,-0.70,-1.30,-3.30,-7.00,-8.70,-12.20,-8.70,-3.80,-2.70,-0.20,0.73,-1.77,-9.30,-5.07,-3.85
1996,1.20,0.90,0.90,-2.20,-2.30,-3.80,-5.70,-7.90,-2.50,-3.90,-2.00,0.40,0.63,-1.20,-5.80,-2.80,-2.29
1997,1.70,0.70,-0.20,-1.90,-3.20,-4.30,-8.50,-6.70,-8.70,-3.60,-2.30,0.40,0.93,-1.77,-6.50,-4.87,-3.05
1998,1.50,1.40,0.40,0.10,-3.00,-1.10,-2.60,-3.90,-6.10,-3.30,-1.40,-0.10,1.10,-0.83,-2.53,-3.60,-1.47
1999,0.80,1.00,0.50,-0.60,-1.30,-4.30,-3.90,-9.20,-9.10,-3.60,-1.50,-1.00,0.57,-0.47,-5.80,-4.73,-2.61
2000,-0.40,0.00,-0.80,-2.00,-2.70,-2.50,-3.80,-5.30,-6.60,-1.80,-1.20,1.10,-0.47,-1.83,-3.87,-3.20,-2.34
2001,2.10,2.30,1.60,-1.60,-0.20,-3.90,-6.40,-6.30,-6.50,-2.90,-2.30,-0.10,1.83,-0.07,-5.53,-3.90,-1.92
2002,0.80,0.30,-2.20,-1.10,-5.90,-9.30,-7.30,-7.50,-3.00,-4.90,-1.90,0.50,0.33,-3.07,-8.03,-3.27,-3.51
2003,2.20,1.80,0.20,-1.20,-3.10,-4.90,-3.40,-2.90,-6.40,-4.10,-1.90,-0.30,1.50,-1.37,-3.73,-4.13,-1.93
